Ainǝwèo,prop,tisztának lenni,NGÁ NA WÙ,nyal öl áll,MD áinə wèo,Anubis isten (BR anafào > MA anəwào) népetimológiája,proper-names
Dhūann,prop,erdei vadász,THU XA,fa vadászik,AN thu xan,,proper-names
Ghuanèo,n,a Találkozás,QHÙ NÀ,,MA ghùa nèo,,misc
Hía,prop,érdekes tárgy,XÍ YA,nézd! mond,AN xí ya,,proper-names
Hôsyānn,prop,"sarkcsillag, vezérlő csillag",XÚ SÁ,farok ,BR húo sán,,proper-names
Liào Nūr,prop,"mosolygó hajnal, mosolygó krémzöld",,,,,proper-names
Màu,prop,"valaki, senki",MÙ,"valaki, ő",,< wào màu „senki fia”,proper-names
Myǎla,prop,Myāla istennő,YÀ RA,nő ugrik [fenséges],BR myào lā,,religion
Nîa Syáanng Myāol,prop,örök nyár országa,,,,,proper-names
Ninnhôsyānn,prop,én vezércsillagom,,,BR nin xúo sán < Šum Ninxursañ,,proper-names
Nnhôsyānn,prop,én vezércsillagom,,,BR nin xúo sán < Šum Ninxursañ,,proper-names
Nummu Lyədhôgh,prop,keselyű/varjú az oszlopon ,,keselyű rajta oszlop,BR nummu lalā thôgh,,proper-names
Ryamâeqh,prop,szürke folyó,,,BR ryá màiqhú,,proper-names
Thəréngghanû,prop,sehol-hegyek,THÁ SÁ RI XÁ NGA,sehol hegy,BR thásáili-xáiñganū,,proper-names
Umm Rwaqhǔy,epith,széttrollkodás öreganyja,,rágós szavak öreganyja,,,proper-names
Ẏhainǒgh,prop,hajlékony patkány,,,BR xuhái nùqhu,,proper-names
ái,v,nyal,NGÁ,,ngá,,root-words
áigh,v,mosakszik,NGÁ NGA,nyal hát,PR ñá ña,,body
áinn,adj,tiszta,NGÁ NGÍ,nyal én,PR ñá na,,misc
âinn,n,"idegesség, kényelmetlenség",NGÁ NGÍ,mosakszik,MA áinnə,,soul
aiyùgh,adv,legalább,YÙ,gyerek > kicsi,AN ai yùñ,,misc
alàgh,adv,legfeljebb,RA,ugrik > nagy,AN alaxù,,misc
amm,adv,vissza,WÀ,megy,wam,,post-positions
amyāqh,adv,jobban,,,AN amyǎxa,,misc
āo,v,nyit,NGÀ,harap,,,misc
àong,adj,nyitott,NGÀ,harap,PR ñàñ,,misc
àong,v,kitátja a száját,NGÀ,harap,PR ñàñ,,body
asyéa,pref,öreg,SÍ,fél,MA aśéa # $,,society
asyīqh,n,házi patkány,,,,,animals
awəmmū,n,"gond, jövés-menés",WÀ,megy jön,AN afàmū,,soul
ǎy,n,"rovar, bogár, kavics",RÁ YÌ,kő kicsi,AN rá yò,,animals
āya,adj,lenyűgöző,YÍ,,,,misc
āzyəmūth,n,sas,SÍ MU THA,,,,animals
dhǎ,int,nem,THÙ,,thàù,,root-words
dhǎ,v,mászik,THÀ,,thà,,root-words
dhàu,v,mindjárt,THÙ,,thù,"> az, ott, közel",root-words
dhàu,part,nem,THÀ,,,,misc
dhei,num,egy,THÍ,orr,,,misc
dhei,pron,oda,THÁ,ott,,,post-positions
dhei,adv,majd,THÁ,,,,time
dhéi rā,adv,először,THÁ RA,orr + ugrik,,,misc
dhei syiéng,pron,egyikünk,THI SI NGÍ,,thei syangi ? thì si ngí,,misc
dhôgh,n,"rúd, farönk, oszlop",THU QHÚ,fa + farok,,,plants
dhū,n,fa,THU,,thu,,root-words
dhunn,n,erdő,THU,fa,AN thun,,plants
dhúo,n,test,THÚ,,thú,,root-words
dhy̌,pron,hol?,THÌ,,thì,,root-words
dhǝ syer,num,egyszer,THÍ,,+ zyer idő,,misc
dhǝ syer thǝsyer,adv,előbb-utóbb,,egyszer soha,,,misc
éi,adv,el,YÁ,"nyúl > elfut, menekül",PR yái,,misc
emégh,v,jóllakik,MÍ,,ngímíng,,root-words
emégh,adj,"jóllakott, elégedett",MÍ,,ngímíng,,root-words
êy,n,mindjárt ott,YÁ,"nyúl > elfut, menekül",PR yái,,misc
fā,n,láb,FA,,fa,,root-words
fā,v,lép,FA,,fa,,root-words
fadh,n,"fordulat, visszavágás, csapás; érv",FA THA,fordul karom,PR faa ta,,society
fāfa,v,járkál,,,,,misc
fānn,n,lépés,FA,,fan,,root-words
far,n,láb,FA RA,láb,PR faa ra,,body
fáy,v,sétál,FA YÍ,láb ugrik,PR fa yí,,body
féa,n,"lélek, életerő",FÍ,,fía,,root-words
fei,adj,puha,FI,,fii,,root-words
feilīr,n,"párna, puha fekhely",FI SÁ RI RA,szőr idő ugrik,MA fei līr,,environment
fér,n,puha fekhely,FI RÁ,szőr kő,BR fiirá,,environment
féya,adj,meleg,FÍ,,fíia,,root-words
fǐ,n,akarat,FÌ,,fì,,root-words
